userName,Rating,ReviewDate,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
Pengguna Google,2,2026-04-25 11:43:07,"sudah di coba berkali2 tetep gak bisa melakukan pembayaran,trus GK bisa milih kursi lebih dr dua di sebagian armada, sedangkan kita mau pergi 4 orang. Terus setelah dapat tiket,pas ada kendala di perjalanan sebelum nya akhirnya kami telat alias tidak bisa datang tepat waktu sesuai waktu tiket, akhirnya tiket kami pun hangus dan gak bisa di reschedule dan cancel",-0.25,Negative,-0.49 to 0.0
Pengguna Google,2,2026-04-25 01:37:40,"sayangnya tidak semua bus di tampilkan, tapi kalo beli di agen offline ada bus sesuai rute yg tidak di tampilkan dalam aplikasi ini",-0.128,Negative,-0.49 to 0.0
Pengguna Google,3,2026-04-19 13:00:00,"apakah ini penipuan?. uang saya berkurang dr rekening tetapi pemesanan di apk tertulis gagal, dan saya coba menghubungi no yg tertera tetapi tidak mendapat respon ataupun jawaban, saya sangan menyesal memakai jasa apk ini, klo sampe uang sayang kembali, saya akan menghapus komentar ini apa bila uang saya bisa kembali, atau ga minimal tiket bisa saya dapatkan..",-0.296,Mixed Negative,-0.49 to 0.0
Pengguna Google,5,2026-04-18 18:24:32,nice apk,0.4215,Positive,0.0 to 0.49
Pengguna Google,2,2026-04-18 03:18:55,aplikasi yang filternya kurang Smart,0.4019,Mixed Negative,0.0 to 0.49
Pengguna Google,1,2026-04-17 11:02:13,"aplikasi third party ga ada otak. yg hanya mementingkan keuntungan sepihak, tanpa memperdulikan cust",0.4019,Mixed Negative,0.0 to 0.49
Pengguna Google,5,2026-04-16 13:44:56,"cepat, mudah dan friendly",0.4939,Positive,0.0 to 0.49
Pengguna Google,5,2026-04-16 13:32:16,mantap mantap top markotop,0.2023,Positive,0.0 to 0.49
Pengguna Google,5,2026-04-15 21:31:22,good aplikasi,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-04-15 12:44:21,"sangat membantu,kemaren sy order pahala kencana ribet di PO nya,,langsung di bantu dr kantornya",-0.5574,Mixed Positive,-1.0 to -0.5
Pengguna Google,5,2026-04-15 07:40:13,best,0.6369,Positive,0.5 to 1.0
Pengguna Google,5,2026-04-14 21:18:56,"One of the applications that must be available for those who travel frequently, highly recommend",0.4201,Positive,0.0 to 0.49
Pengguna Google,5,2026-04-14 20:30:43,so far so good,0.6213,Positive,0.5 to 1.0
Pengguna Google,5,2026-04-14 17:39:36,semoga terkait problem saya bisa diselesaikan dengan baik respon yang sangat sigap untuk tim sosmed nya redbuss💪🔥 saya tunggu terkait refund saya 🙏,-0.4019,Mixed Positive,-0.49 to 0.0
Pengguna Google,5,2026-04-14 09:46:24,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-04-12 21:37:19,best Bus App!,0.6369,Positive,0.5 to 1.0
Pengguna Google,5,2026-04-12 10:00:32,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-04-11 21:34:54,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-04-10 16:25:15,"Sangat Membatu gaaaaaes, Simple no ribet semua informasi jelas",-0.296,Mixed Positive,-0.49 to 0.0
Pengguna Google,2,2026-04-08 00:29:24,tolong dong pihak redbus kalau bikin informasi tentang jam berangkat dan nyampe itu disinkronkan yg betul dg pihak PO bus biar ga merugikan penumpang. saya hari ini naik bus PO sumber alam dari pasar Kemis tujuan Bumiayu. kenapa saya milih bus ini walaupun harganya diatas PO lain? karena saya ngejar waktu. di aplikasi keterangan jam berangkat jam 14.00 nyampe tujuan jam 21.17. tapi aktualnya berangkat jam setengah 3 lebih nyampe tujuan jam 2 kurang. kan menyesatkan begini mah..,-0.8957,Negative,-1.0 to -0.5
Pengguna Google,5,2026-04-07 20:50:44,good trans bus,0.4404,Positive,0.0 to 0.49
Pengguna Google,5,2026-04-07 11:00:34,over all good,0.4404,Positive,0.0 to 0.49
Pengguna Google,1,2026-04-06 22:56:31,"gk bisa msuk, stuck di menu doang. Msih banyak yg harus di perbaiki lg ni aplikasi",-0.25,Negative,-0.49 to 0.0
Pengguna Google,5,2026-04-06 11:21:19,sangat membantu good lanjutkan,0.4404,Positive,0.0 to 0.49
Pengguna Google,4,2026-04-06 07:29:18,ok,0.296,Positive,0.0 to 0.49
Pengguna Google,5,2026-04-03 12:01:20,"baru kali ini mudik naik bis via apk. redbus ini, membantu sekali mencari armada bis yg di inginkan, alkhamdulillah pilihan jatuh pada po. citirtrans, berasa kaya naik pesawat, semuanya bagus , jadi mau mudik paket bis selalu kalau gini ceritanya.",-0.5574,Mixed Positive,-1.0 to -0.5
Pengguna Google,5,2026-04-03 10:20:08,good,0.4404,Positive,0.0 to 0.49
Pengguna Google,1,2026-04-02 21:58:32,"Parah banget pengalaman pakai RedBus. Udah beli tiket 2 perjalanan biar lancar, tapi bus pertama malah telat gak jelas sampai bikin ketinggalan bus kedua. Gak ada tanggung jawab, gak ada solusi. Ini bener-bener ngerugiin penumpang. Duit melayang gitu aja , GAK USAH PAKAI APLIKASI INI!!!, APLIKASI INI CUMA MERUGIKAN PENUMPANG!!!! WORST APP!!!!!!",-0.6249,Negative,-1.0 to -0.5
Pengguna Google,5,2026-04-01 17:32:04,Ok,0.296,Positive,0.0 to 0.49
Pengguna Google,1,2026-04-01 17:27:30,"gabisa pesen bis, unknown error terus",-0.4019,Negative,-0.49 to 0.0
Pengguna Google,5,2026-04-01 10:09:36,kata ku sih gausa mesen lewat apk ini ya brkali kali ngecancel tiket tp refund susah bgt kembalikan uang saya 240rb tolong segra di tf kalian yg cancel tiket seenaknya sendiri giliran refund susah ! ini kesalahan kalian bukan kesalahan saya!,-0.25,Mixed Positive,-0.49 to 0.0
Pengguna Google,1,2026-03-31 21:08:34,saya pesan bus tujuan Pulo gebang naik di terminal belik udah pilih tempat duduk malah dapet kursi CC ternyata cadangan duduk di kursi plastik depan toilet gimna si udah milih tempat duduk malah dapet kursi CC PO bus PEBEPE.saya bayar full kenapa malah duduknya dikursi plastik gimna pertanggung jawabannya ini,-0.5574,Negative,-1.0 to -0.5
Pengguna Google,1,2026-03-31 14:59:44,apakh cuma sedikit saja po bus yang ada di apk dan tidak jelas kemarin saja sulit cari bus padahal banyak bus dengan po beroperasi dan masih kosong sampai saya harus beli ke agen,-0.802,Negative,-1.0 to -0.5
Pengguna Google,5,2026-03-31 06:21:23,okay gampang menggunakan nya,0.2263,Positive,0.0 to 0.49
Pengguna Google,5,2026-03-31 05:40:49,Good Job dan Customer Service good,0.7003,Positive,0.5 to 1.0
